Profanity,Rating1,Rating2,Rating3,Rating4,Rating5,RoundAverage,SeverityDescription
69,1,1,1,1,1,1,Mild
@55,1,1,1,1,1,1,Mild
0ral seks,1,1,1,1,1,1,Mild
0rg@sm,1,1,1,1,1,1,Mild
0rgasms,1,1,1,1,1,1,Mild
4r5e,1,2,2,1,1,1,Mild
4r5ed,1,1,1,3,1,1,Mild
4r5es,3,1,1,1,1,1,Mild
4skin,1,1,1,1,1,1,Mild
5h17,1,1,1,1,1,1,Mild
5h1t,1,1,1,1,1,1,Mild
a_s_s,1,1,1,1,1,1,Mild
abbie,1,2,1,1,1,1,Mild
aboe,1,1,1,1,1,1,Mild
anal,1,1,1,1,1,1,Mild
anus,1,1,1,1,1,1,Mild
apeshit,1,2,1,2,1,1,Mild
apeshite,3,1,1,1,1,1,Mild
ar5e,1,1,1,1,1,1,Mild
ar5ehole,1,2,2,1,1,1,Mild
arse,1,1,1,1,1,1,Mild
arse hole,1,1,2,1,1,1,Mild
arsehole,1,2,1,2,1,1,Mild
arsewipe,2,1,1,2,1,1,Mild
ass,1,1,1,1,1,1,Mild
ass hole,2,1,1,1,1,1,Mild
ass kisser,1,2,1,1,1,1,Mild
asses,1,1,1,1,1,1,Mild
asshat,1,1,1,2,1,1,Mild
asshole,1,1,2,1,1,1,Mild
asswhole,2,1,2,1,1,1,Mild
axe wound,2,1,1,1,1,1,Mild
azz,1,1,1,1,1,1,Mild
b to the inch,1,1,1,2,1,1,Mild
b！tch,2,1,1,2,1,1,Mild
b00bz,1,1,1,1,1,1,Mild
b0llock,1,1,1,1,1,1,Mild
b0llocks,2,1,1,1,1,1,Mild
b1+ch,1,1,1,1,1,1,Mild
b17ch,1,1,2,2,1,1,Mild
b1otch,1,1,1,2,2,1,Mild
b1otchs,1,1,1,1,2,1,Mild
b1tch,1,2,1,1,2,1,Mild
b1tch1ng,1,1,1,2,1,1,Mild
b1tch35,1,1,1,1,1,1,Mild
b1tch3s,2,1,1,1,2,1,Mild
b1tchees,1,1,3,1,1,1,Mild
b1tches,1,2,1,1,2,1,Mild
b1tchez,1,2,1,1,1,1,Mild
b1tchin,1,1,1,1,2,1,Mild
b1tching,2,1,1,1,1,1,Mild
b1tchs,1,1,2,2,1,1,Mild
b1tchy,1,1,2,1,1,1,Mild
baby batter,1,1,2,1,2,1,Mild
ballbag,1,1,1,1,1,1,Mild
bassturd,1,2,1,1,1,1,Mild
bastard,1,1,1,1,2,1,Mild
bastardish,1,1,1,1,1,1,Mild
basterd,1,1,1,1,1,1,Mild
bastid,1,2,1,1,1,1,Mild
basturd,1,1,1,1,2,1,Mild
bates,1,1,1,1,1,1,Mild
batshit,1,1,1,1,1,1,Mild
batshite,1,1,1,2,1,1,Mild
bbc,1,1,2,2,1,1,Mild
beat my meat,1,1,1,1,2,1,Mild
beat off,1,1,2,1,1,1,Mild
beat the meat,1,1,1,3,1,1,Mild
beat your meat,1,2,2,1,1,1,Mild
beeotch,1,1,1,1,1,1,Mild
bell end,1,1,1,1,1,1,Mild
bellend,1,2,1,1,1,1,Mild
bewbs,1,1,1,1,1,1,Mild
beyoch,1,1,2,1,1,1,Mild
beyotch,1,1,1,2,1,1,Mild
bi + ch,1,2,1,1,1,1,Mild
bi+ch,1,2,2,1,1,1,Mild
biatch,1,2,1,1,1,1,Mild
biches,2,1,1,1,2,1,Mild
biotch,1,1,1,1,1,1,Mild
biotches,1,2,1,1,1,1,Mild
biotchez,1,1,1,2,2,1,Mild
bishes,2,1,1,1,1,1,Mild
bitch,2,1,2,1,1,1,Mild
bitch3s,1,1,2,1,1,1,Mild
bitched,1,2,1,1,1,1,Mild
bitcher,1,1,2,1,2,1,Mild
bitchers,1,1,2,1,2,1,Mild
bitchez,1,2,2,1,1,1,Mild
bitchin,1,1,1,2,1,1,Mild
bitchin',1,1,1,1,1,1,Mild
bitching,1,1,1,1,1,1,Mild
bitchlike,2,1,1,1,1,1,Mild
bitchs,1,1,1,1,1,1,Mild
bitchslap,1,1,1,1,1,1,Mild
bitchy,2,1,1,1,1,1,Mild
blowjob,1,2,1,1,1,1,Mild
boll0ck,1,1,1,1,1,1,Mild
bollock,1,1,1,1,1,1,Mild
bollockchops,2,1,1,1,1,1,Mild
bollocks,1,1,2,1,1,1,Mild
