text,category_1,category_2,category_3,severity_rating,severity_description
69,sexual anatomy / sexual acts,,,1,Mild
@55,sexual anatomy / sexual acts,,,1,Mild
@ssfcker,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
@ssfucker,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
@ssfvcker,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
@sshole,sexual anatomy / sexual acts,,,1.6,Strong
0ral seks,sexual anatomy / sexual acts,,,1,Mild
0ral sex,sexual anatomy / sexual acts,,,1.8,Strong
0rg@sm,sexual anatomy / sexual acts,,,1,Mild
0rgasms,sexual anatomy / sexual acts,,,1,Mild
3jakulating,sexual anatomy / sexual acts,bodily fluids / excrement,,1.6,Strong
4r5e,sexual anatomy / sexual acts,,,1.4,Mild
4r5ed,sexual anatomy / sexual acts,,,1.4,Mild
4r5es,sexual anatomy / sexual acts,,,1.4,Mild
4skin,sexual anatomy / sexual acts,,,1,Mild
5h17,bodily fluids / excrement,,,1,Mild
5h1t,bodily fluids / excrement,,,1,Mild
5kank,sexual orientation / gender,,,2,Strong
a_s_s,sexual anatomy / sexual acts,,,1,Mild
abbie,racial / ethnic slurs,,,1.2,Mild
abeed,racial / ethnic slurs,,,1.8,Strong
aboe,racial / ethnic slurs,,,1,Mild
anal,sexual anatomy / sexual acts,,,1,Mild
anal hole,sexual anatomy / sexual acts,,,2.2,Strong
anal hore,sexual anatomy / sexual acts,,,2.4,Strong
anal pirate,sexual anatomy / sexual acts,,,2.2,Strong
analingus,sexual anatomy / sexual acts,,,1.6,Strong
analplug,sexual anatomy / sexual acts,,,2.2,Strong
analplugs,sexual anatomy / sexual acts,,,2,Strong
anilingus,sexual anatomy / sexual acts,,,1.8,Strong
animal fucker,sexual anatomy / sexual acts,animal references,,3,Severe
anus,sexual anatomy / sexual acts,,,1,Mild
anus plug,sexual anatomy / sexual acts,,,2,Strong
ape shit,bodily fluids / excrement,,,1.6,Strong
ape shite,bodily fluids / excrement,animal references,,1.6,Strong
apeshit,bodily fluids / excrement,racial / ethnic slurs,animal references,1.4,Mild
apeshite,bodily fluids / excrement,racial / ethnic slurs,,1.4,Mild
ar5e,sexual anatomy / sexual acts,,,1,Mild
ar5ehole,sexual anatomy / sexual acts,,,1.4,Mild
arse,sexual anatomy / sexual acts,,,1,Mild
arse gobbler,sexual anatomy / sexual acts,,,2,Strong
arse hole,sexual anatomy / sexual acts,,,1.2,Mild
arse-bandit,sexual orientation / gender,,,2,Strong
arse-bandits,sexual anatomy / sexual acts,,,2.2,Strong
arse-fucker,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
arse-fuckers,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
arse-hole,sexual anatomy / sexual acts,,,1.8,Strong
arse-shagger,sexual anatomy / sexual acts,,,2.4,Strong
arsefuck,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
arsefucker,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
arsehole,sexual anatomy / sexual acts,,,1.4,Mild
arseshit,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
arsewipe,sexual anatomy / sexual acts,,,1.4,Mild
ashole,sexual anatomy / sexual acts,,,1.6,Strong
ass,sexual anatomy / sexual acts,,,1,Mild
ass bandit,sexual anatomy / sexual acts,,,1.6,Strong
ass eating boiolas,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
ass eating nob jokeys,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
ass fecker,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
ass fuck,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
ass fucker,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
ass fucking boiolas,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
ass fucking nob jokeys,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
ass hole,sexual anatomy / sexual acts,,,1.2,Mild
ass kisser,sexual anatomy / sexual acts,,,1.2,Mild
ass licking,sexual anatomy / sexual acts,,,1.6,Strong
ass muncher,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
ass-bandit,sexual anatomy / sexual acts,,,1.8,Strong
ass-fucker,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
ass-fuckers,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
ass-hole,sexual anatomy / sexual acts,,,2,Strong
asses,sexual anatomy / sexual acts,,,1,Mild
assface,sexual anatomy / sexual acts,,,1.6,Strong
assfck,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
assfcker,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
assfk,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
assfkcer,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
assfker,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
assfkr,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
assfook,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
